Product_ID,Transaction_ID,Purchase_Freq,Avg_Order_Value,Most_Frequent_Category,Time_Between_Purchases,Region,Churn_Probability,Lifetime_Value,Launch_Date,Peak_Sales_Date,Season,Preferred_Purchase_Times,Retention_Strategy,Customer_Age_Days,High_Value_Customer
PROD_IGQ04T,TRANS_4GHR21,16,147.99,Home,28,asia,0.54,9793.48,2022-04-10,2023-01-15,Fall,Afternoon,Email Campaign,1444,1
PROD_RA21TR,TRANS_XZ3ATJ,6,43.79,Electronics,48,north america,0.78,2071.72,2021-07-08,2023-09-07,Winter,Afternoon,Loyalty Program,1720,0
PROD_KK674F,TRANS_6Z1WNL,9,140.74,Electronics,33,europe,0.97,4032.5,2020-12-07,2023-09-11,Summer,Afternoon,Email Campaign,1933,0
PROD_BQZPQW,TRANS_QFA4GW,10,168.79,Sports,71,asia,0.6,4170.08,2022-03-29,2023-07-20,Summer,Evening,Loyalty Program,1456,0
PROD_LMZ8FO,TRANS_RKYSMN,4,180.07,Clothing,38,europe,0.28,5093.39,2021-07-13,2023-10-05,Spring,Afternoon,Discount,1715,1
PROD_G9QAZF,TRANS_RRYEW5,3,151.9,Home,33,europe,0.24,1686.06,2022-08-08,2023-10-15,Winter,Afternoon,Discount,1324,0
PROD_QSBLCY,TRANS_5LGI9O,13,54.2,Clothing,69,north america,0.26,8156.23,2022-07-20,2023-10-03,Summer,Evening,Email Campaign,1343,1
PROD_NV7ANP,TRANS_Z85T6R,4,70.04,Sports,33,asia,0.18,4456.32,2022-02-04,2023-07-25,Fall,Afternoon,Loyalty Program,1509,0
PROD_MKX3U2,TRANS_XWNAU4,11,79.79,Electronics,24,south america,0.92,3278.04,2021-04-26,2023-11-07,Spring,Morning,Loyalty Program,1793,0
PROD_VP1C85,TRANS_BN4GLI,7,141.62,Home,34,asia,0.24,8513.1,2021-08-27,2023-06-16,Summer,Evening,Discount,1670,1
PROD_DLW1HT,TRANS_OZSTC6,17,25.67,Electronics,25,north america,0.99,9777.23,2021-03-01,2023-06-03,Summer,Morning,Email Campaign,1849,1
PROD_V7YPR0,TRANS_3C9IZ7,8,121.15,Home,73,north america,0.04,7429.9,2021-12-01,2023-01-18,Fall,Evening,Loyalty Program,1574,1
PROD_REQDDN,TRANS_E7YDDY,5,159.29,Clothing,23,north america,1.0,9884.14,2020-03-12,2023-01-31,Winter,Morning,Loyalty Program,2203,1
PROD_7M7FN6,TRANS_P8HBGJ,7,143.17,Electronics,71,north america,0.75,9939.87,2021-09-29,2023-10-04,Spring,Evening,Discount,1637,1
PROD_I8BK7H,TRANS_DRQVRX,18,112.91,Sports,10,south america,0.3,481.09,2020-03-12,2023-10-28,Winter,Afternoon,Loyalty Program,2203,0
PROD_GEO4BY,TRANS_OHOMTE,2,87.07,Sports,61,europe,0.25,4389.88,2020-01-16,2023-03-16,Winter,Afternoon,Loyalty Program,2259,0
PROD_ZDFDHP,TRANS_7QZT0M,16,90.59,Electronics,6,south america,0.45,6536.15,2022-08-10,2023-04-13,Spring,Morning,Email Campaign,1322,1
PROD_HGV6XV,TRANS_KR47ZL,16,155.46,Electronics,71,asia,0.28,514.55,2022-03-10,2023-09-23,Fall,Afternoon,Loyalty Program,1475,0
PROD_QKQZCD,TRANS_GNTBSC,1,29.43,Clothing,72,north america,0.37,6446.33,2022-08-28,2023-09-11,Fall,Afternoon,Loyalty Program,1304,1
PROD_APLSZ5,TRANS_J4I69W,11,187.02,Home,47,north america,0.36,3209.14,2020-12-20,2023-08-17,Winter,Morning,Discount,1920,0
PROD_06OMWE,TRANS_V5XD0N,8,193.61,Clothing,31,north america,0.09,4250.12,2022-05-29,2023-08-19,Summer,Evening,Discount,1395,0
PROD_FZPBJ0,TRANS_SUV302,1,165.46,Clothing,75,north america,0.49,3399.96,2021-03-30,2023-01-08,Summer,Morning,Discount,1820,0
PROD_Q33F7S,TRANS_KWSVZ1,5,141.7,Clothing,27,north america,0.54,4979.03,2022-08-02,2023-11-06,Winter,Evening,Email Campaign,1330,0
PROD_W0BL0N,TRANS_ZHY8NX,9,76.18,Clothing,88,asia,0.92,6700.23,2021-09-08,2023-08-07,Summer,Evening,Email Campaign,1658,1
PROD_LPYYDT,TRANS_YRXSEE,11,105.41,Clothing,19,europe,0.35,8484.97,2021-02-21,2023-10-07,Fall,Morning,Discount,1857,1
PROD_AYH2IY,TRANS_OO6E0E,12,195.98,Clothing,70,north america,0.94,2131.19,2020-01-23,2023-05-16,Spring,Afternoon,Discount,2252,0
PROD_57UL5X,TRANS_RL8R7X,13,40.69,Electronics,19,asia,0.82,5732.6,2022-04-13,2023-02-26,Summer,Afternoon,Email Campaign,1441,1
PROD_7PA2MO,TRANS_3CFDED,8,168.99,Electronics,75,europe,0.04,4436.29,2020-05-15,2023-12-22,Winter,Morning,Discount,2139,0
PROD_B4YT9N,TRANS_YS9IFG,7,52.13,Electronics,40,north america,0.08,549.09,2021-04-22,2023-04-14,Winter,Evening,Discount,1797,0
PROD_C2Y1TF,TRANS_I949BV,12,121.6,Electronics,30,south america,0.76,3714.99,2021-06-21,2023-02-14,Fall,Afternoon,Loyalty Program,1737,0
PROD_VCTO6F,TRANS_35JLNS,17,39.01,Sports,74,europe,0.13,7543.91,2020-09-10,2023-03-17,Winter,Afternoon,Discount,2021,1
PROD_2WKC14,TRANS_TFY65O,13,161.93,Clothing,80,south america,0.23,6924.0,2022-07-18,2023-11-02,Summer,Evening,Email Campaign,1345,1
PROD_XISEVK,TRANS_BI87V2,10,69.27,Home,48,asia,0.12,955.14,2022-11-03,2023-08-25,Summer,Morning,Email Campaign,1237,0
PROD_60BHU4,TRANS_7EEQ6S,5,78.06,Clothing,39,asia,0.8,5970.92,2021-02-18,2023-12-07,Fall,Evening,Discount,1860,1
PROD_9HDA2G,TRANS_HVCWAE,4,37.09,Sports,76,europe,0.05,6353.19,2022-08-04,2023-03-06,Spring,Afternoon,Discount,1328,1
PROD_ZNVVA4,TRANS_Y85IB3,10,105.61,Clothing,57,asia,0.37,6435.21,2020-12-27,2023-11-13,Winter,Afternoon,Loyalty Program,1913,1
PROD_LIHMIO,TRANS_1B9BW3,13,65.97,Clothing,22,asia,0.08,3889.56,2022-09-22,2023-04-16,Winter,Morning,Discount,1279,0
PROD_CHEZ3Y,TRANS_BVJ93X,10,44.92,Electronics,71,north america,0.15,6286.12,2022-10-02,2023-12-19,Spring,Morning,Loyalty Program,1269,1
PROD_KDYCI7,TRANS_8M3BGP,13,175.81,Clothing,60,europe,0.25,2173.1,2022-04-13,2023-12-06,Summer,Morning,Email Campaign,1441,0
PROD_6JC3IE,TRANS_9N8RPV,4,48.07,Home,74,north america,0.94,182.6,2021-05-22,2023-04-07,Spring,Morning,Loyalty Program,1767,0
PROD_W15OP6,TRANS_2RANWV,8,82.69,Clothing,67,asia,0.28,7565.07,2022-05-17,2023-12-27,Summer,Morning,Loyalty Program,1407,1
PROD_JV3HSP,TRANS_VR2LMK,1,156.04,Electronics,45,north america,0.53,9792.55,2020-08-04,2023-12-02,Fall,Afternoon,Loyalty Program,2058,1
PROD_VE9FAM,TRANS_DIIJRJ,8,46.0,Clothing,79,asia,0.43,2945.99,2020-07-10,2023-06-23,Fall,Morning,Loyalty Program,2083,0
PROD_FOM3QG,TRANS_T1L4M8,1,186.54,Sports,72,south america,0.22,5576.28,2021-03-21,2023-01-25,Summer,Morning,Discount,1829,1
PROD_BRGWOE,TRANS_JG2Z1Q,14,157.37,Sports,36,asia,0.37,726.95,2020-10-19,2023-04-16,Summer,Evening,Email Campaign,1982,0
PROD_W78Y00,TRANS_KX7QRM,16,175.7,Clothing,81,asia,0.76,3128.79,2022-11-07,2023-06-03,Winter,Evening,Email Campaign,1233,0
PROD_OE7XRF,TRANS_JE2056,10,138.67,Sports,42,europe,0.74,8802.47,2022-01-11,2023-09-30,Fall,Morning,Loyalty Program,1533,1
PROD_VK226H,TRANS_JJBKYL,3,172.19,Electronics,51,north america,0.24,843.02,2022-10-07,2023-08-02,Summer,Evening,Loyalty Program,1264,0
PROD_FXKWAD,TRANS_OS9M5E,8,30.95,Home,60,asia,0.25,7759.72,2021-08-11,2023-09-24,Fall,Evening,Loyalty Program,1686,1
PROD_PUWL9C,TRANS_1N44GP,11,69.05,Home,74,north america,0.04,3421.3,2020-01-04,2023-06-30,Summer,Morning,Loyalty Program,2271,0
PROD_ZKTGY4,TRANS_MPRMR4,5,32.18,Sports,61,north america,0.23,2682.46,2022-12-24,2023-02-08,Spring,Afternoon,Loyalty Program,1186,0
PROD_0HPPRU,TRANS_L6C5IH,7,35.98,Home,6,south america,0.08,3408.85,2021-08-11,2023-11-27,Summer,Afternoon,Email Campaign,1686,0
PROD_JQKMA9,TRANS_B1AGUQ,10,97.5,Sports,63,south america,0.39,6008.65,2022-11-03,2023-07-08,Winter,Morning,Loyalty Program,1237,1
PROD_J0NICY,TRANS_UR3NI6,1,120.55,Electronics,25,europe,0.86,4170.5,2020-01-01,2023-09-13,Fall,Afternoon,Discount,2274,0
PROD_5RE3HX,TRANS_DHYRAM,19,103.19,Clothing,53,south america,0.12,666.12,2022-07-04,2023-10-15,Spring,Evening,Discount,1359,0
PROD_J7IA73,TRANS_O0F7IU,11,61.74,Clothing,24,north america,0.49,1517.8,2020-06-28,2023-11-18,Spring,Evening,Discount,2095,0
PROD_KYQOGN,TRANS_8PY3IV,10,128.51,Clothing,19,south america,0.1,977.86,2021-06-10,2023-03-09,Fall,Evening,Email Campaign,1748,0
PROD_ULSC9X,TRANS_PIZN0P,8,72.7,Home,83,south america,0.86,7231.13,2020-03-19,2023-03-16,Winter,Afternoon,Discount,2196,1
PROD_50ZMSE,TRANS_XDO4Y2,13,199.76,Home,60,south america,0.24,1666.64,2022-06-05,2023-10-22,Fall,Morning,Loyalty Program,1388,0
PROD_91W0VF,TRANS_3NDXUA,2,122.65,Clothing,55,asia,0.38,567.28,2020-08-31,2023-06-25,Fall,Afternoon,Loyalty Program,2031,0
PROD_MSW50K,TRANS_QE16CC,17,91.92,Sports,76,europe,0.12,9238.72,2020-07-05,2023-10-06,Fall,Evening,Discount,2088,1
PROD_5N7JDT,TRANS_GCRXS0,8,180.68,Electronics,61,south america,0.13,8896.81,2022-12-20,2023-09-07,Fall,Afternoon,Discount,1190,1
PROD_TJI0KT,TRANS_25JY8J,6,39.65,Electronics,11,north america,0.51,6765.08,2022-05-16,2023-01-11,Spring,Evening,Discount,1408,1
PROD_3I2T16,TRANS_TSXRLY,13,79.7,Clothing,26,north america,0.93,3050.4,2022-07-13,2023-01-23,Spring,Evening,Loyalty Program,1350,0
PROD_2F8I98,TRANS_A2GMGR,6,128.88,Sports,18,europe,0.71,128.02,2020-08-06,2023-06-24,Summer,Afternoon,Loyalty Program,2056,0
PROD_TRJDBV,TRANS_POJPUF,9,99.62,Electronics,72,europe,0.04,7129.69,2022-05-13,2023-08-28,Summer,Evening,Email Campaign,1411,1
PROD_PSYN74,TRANS_02XSH5,13,128.57,Sports,64,europe,0.4,711.52,2020-04-19,2023-03-15,Spring,Morning,Loyalty Program,2165,0
PROD_4UZA62,TRANS_3PGBPE,3,73.03,Electronics,29,north america,0.15,9705.66,2020-03-15,2023-02-11,Spring,Morning,Loyalty Program,2200,1
PROD_IU4XOE,TRANS_FQP9AV,11,101.47,Electronics,45,europe,0.44,2672.93,2021-06-05,2023-07-14,Spring,Evening,Discount,1753,0
PROD_1AQQBV,TRANS_R2YAYK,16,162.83,Home,50,north america,0.17,6899.44,2020-05-05,2023-12-23,Spring,Morning,Loyalty Program,2149,1
PROD_1TF70I,TRANS_CQ4GU5,11,117.22,Electronics,26,north america,0.18,2200.37,2022-12-08,2023-10-13,Summer,Evening,Discount,1202,0
PROD_HECA62,TRANS_8ENQPZ,3,79.85,Home,56,asia,0.68,2397.39,2022-06-17,2023-05-01,Fall,Evening,Loyalty Program,1376,0
PROD_KM8KUD,TRANS_CCJNRN,12,191.24,Clothing,51,south america,0.44,825.13,2021-09-12,2023-02-05,Summer,Afternoon,Email Campaign,1654,0
PROD_C5Z26S,TRANS_OTHAW3,5,189.2,Clothing,84,north america,0.2,2432.16,2020-04-11,2023-06-02,Fall,Evening,Loyalty Program,2173,0
PROD_Q1F10S,TRANS_FXGFI4,3,83.92,Electronics,32,europe,0.98,6756.35,2022-04-06,2023-04-02,Summer,Evening,Loyalty Program,1448,1
PROD_3ZMZA9,TRANS_T32V0R,6,125.79,Home,27,europe,0.54,2333.31,2021-12-07,2023-01-21,Fall,Evening,Loyalty Program,1568,0
PROD_0DXZ79,TRANS_9PECLX,19,62.65,Sports,42,asia,0.77,7577.54,2021-08-15,2023-12-29,Fall,Afternoon,Email Campaign,1682,1
PROD_WKFQJ3,TRANS_CQ5278,4,45.21,Electronics,18,south america,0.29,4404.1,2020-01-25,2023-01-28,Winter,Evening,Email Campaign,2250,0
PROD_9R98KN,TRANS_KNJPMZ,5,68.41,Sports,21,europe,0.09,3839.97,2020-06-03,2023-10-25,Spring,Afternoon,Discount,2120,0
PROD_1SNBVE,TRANS_MD4DRM,8,63.84,Electronics,29,europe,0.17,7419.49,2022-08-11,2023-11-23,Winter,Afternoon,Discount,1321,1
PROD_IT717Q,TRANS_GP1OQV,4,194.85,Sports,54,north america,0.32,718.17,2021-11-11,2023-07-15,Spring,Morning,Loyalty Program,1594,0
PROD_QYT7SW,TRANS_3BPSLO,12,151.04,Sports,38,europe,0.43,8162.55,2020-09-09,2023-12-01,Fall,Evening,Loyalty Program,2022,1
PROD_8VAQY0,TRANS_IOFFK9,1,123.76,Electronics,29,south america,0.82,2525.29,2020-08-14,2023-04-21,Fall,Morning,Loyalty Program,2048,0
PROD_WPIL5B,TRANS_QVIN85,7,188.85,Home,75,north america,0.82,1716.41,2020-12-05,2023-09-10,Summer,Morning,Loyalty Program,1935,0
PROD_EQJEIX,TRANS_PEB1AF,13,26.16,Electronics,23,asia,0.75,9071.72,2022-12-18,2023-08-01,Summer,Morning,Email Campaign,1192,1
PROD_SY44GQ,TRANS_E5I20X,2,59.18,Electronics,35,north america,0.32,6127.71,2021-07-10,2023-10-21,Fall,Morning,Loyalty Program,1718,1
PROD_9HJUMB,TRANS_3VZM4N,6,63.15,Electronics,76,europe,0.97,1280.44,2022-05-08,2023-02-10,Spring,Evening,Discount,1416,0
PROD_6VYL5Q,TRANS_NCVTPC,11,103.72,Home,40,europe,0.76,5618.73,2021-02-13,2023-11-30,Fall,Afternoon,Loyalty Program,1865,1
PROD_PMDE3S,TRANS_NXR2HS,13,49.79,Clothing,25,north america,0.31,9534.92,2020-08-23,2023-06-03,Fall,Afternoon,Email Campaign,2039,1
PROD_Y756B1,TRANS_7OTVQS,16,137.38,Sports,44,south america,0.18,4058.92,2022-05-03,2023-10-16,Summer,Afternoon,Discount,1421,0
PROD_JGLZ0G,TRANS_UAJLD3,13,32.26,Electronics,51,europe,0.9,3034.81,2020-02-15,2023-11-11,Fall,Morning,Loyalty Program,2229,0
PROD_IKB9GQ,TRANS_DAR1KI,16,150.47,Home,51,north america,0.89,4237.48,2020-10-11,2023-11-27,Fall,Morning,Loyalty Program,1990,0
PROD_OHZRVC,TRANS_K7ORMB,19,88.07,Home,74,south america,0.83,4483.33,2021-10-09,2023-04-03,Spring,Morning,Discount,1627,0
PROD_PS5AGZ,TRANS_HHDCI4,10,91.25,Electronics,74,south america,0.53,4454.13,2022-04-25,2023-06-07,Fall,Morning,Discount,1429,0
PROD_3AAY9T,TRANS_RYC9VY,2,156.92,Electronics,73,south america,0.77,3777.19,2020-01-10,2023-11-29,Winter,Afternoon,Loyalty Program,2265,0
PROD_WLJHEY,TRANS_SO06RV,2,22.38,Sports,55,asia,0.43,6853.05,2021-10-02,2023-09-04,Spring,Evening,Discount,1634,1
PROD_Q0JNGA,TRANS_EUR8PH,5,28.7,Home,38,asia,0.5,3507.66,2020-08-02,2023-08-06,Spring,Evening,Discount,2060,0
PROD_ZC2DS8,TRANS_GH2SZG,18,80.6,Home,31,europe,0.46,8806.33,2021-01-05,2023-05-14,Fall,Morning,Discount,1904,1
PROD_7IOKLW,TRANS_I237FI,8,137.58,Electronics,52,south america,0.28,8812.2,2021-01-01,2023-10-09,Winter,Morning,Email Campaign,1908,1
PROD_U6X54G,TRANS_W0R881,12,117.9,Clothing,57,north america,0.73,1442.09,2020-03-03,2023-05-20,Summer,Evening,Email Campaign,2212,0
PROD_6A65WZ,TRANS_UOAD2A,8,189.13,Clothing,87,asia,0.04,5404.37,2022-07-10,2023-03-20,Fall,Morning,Loyalty Program,1353,1
PROD_7IPDZP,TRANS_MFX2BK,1,90.67,Electronics,8,south america,0.92,6686.41,2020-08-28,2023-08-07,Winter,Afternoon,Email Campaign,2034,1
PROD_H1YD38,TRANS_L3VS5K,10,159.94,Clothing,75,europe,0.93,9676.79,2020-12-08,2023-06-04,Fall,Afternoon,Email Campaign,1932,1
PROD_MH6MNK,TRANS_H3LISZ,13,53.38,Electronics,41,asia,0.46,3557.0,2022-06-22,2023-01-03,Spring,Morning,Discount,1371,0
PROD_Y9QX6S,TRANS_WOKXCH,7,132.58,Electronics,58,asia,0.79,708.91,2021-03-04,2023-01-26,Spring,Morning,Email Campaign,1846,0
PROD_ZX8QQU,TRANS_FR5JIG,12,62.46,Sports,6,south america,0.83,5698.74,2021-04-27,2023-05-12,Fall,Afternoon,Loyalty Program,1792,1
PROD_BV7IGR,TRANS_6TR23N,3,119.26,Electronics,18,europe,0.35,2823.8,2022-06-24,2023-11-29,Fall,Morning,Email Campaign,1369,0
PROD_0XJ9VA,TRANS_ODMTZF,2,133.08,Clothing,89,europe,0.1,341.02,2021-05-07,2023-08-17,Fall,Morning,Email Campaign,1782,0
PROD_X1ZZ9B,TRANS_Z9AIP7,13,162.93,Electronics,26,south america,0.05,4436.42,2022-10-13,2023-09-24,Summer,Morning,Loyalty Program,1258,0
PROD_N32456,TRANS_GJB78Y,8,102.77,Clothing,43,asia,0.51,8911.13,2020-06-19,2023-10-08,Fall,Afternoon,Loyalty Program,2104,1
PROD_1QKG57,TRANS_CICYQ7,1,57.7,Electronics,51,asia,0.48,8016.1,2020-12-24,2023-06-15,Winter,Evening,Email Campaign,1916,1
PROD_NQDWK1,TRANS_QA6CD7,2,105.71,Clothing,80,europe,0.23,7852.64,2021-08-26,2023-05-23,Winter,Afternoon,Discount,1671,1
PROD_PMXIA1,TRANS_JM3L5T,12,194.26,Clothing,9,europe,0.02,7669.19,2021-01-07,2023-02-08,Fall,Evening,Discount,1902,1
PROD_U5CZ8J,TRANS_6G93WX,8,92.65,Electronics,58,europe,0.57,6823.96,2021-02-21,2023-01-26,Fall,Morning,Email Campaign,1857,1
PROD_SH4W7P,TRANS_734EKZ,4,187.29,Home,31,europe,0.57,8830.76,2021-08-21,2023-12-22,Spring,Evening,Discount,1676,1
PROD_TZM4BQ,TRANS_M3VEI1,8,68.7,Home,24,asia,0.06,5049.85,2021-09-01,2023-03-29,Winter,Evening,Email Campaign,1665,1
PROD_FYTQVJ,TRANS_2FP3TN,16,87.85,Electronics,41,asia,0.32,5357.73,2020-04-24,2023-01-26,Winter,Evening,Email Campaign,2160,1
PROD_FIJBE1,TRANS_MZCC65,12,40.7,Home,57,asia,0.1,2727.38,2022-02-24,2023-12-26,Spring,Morning,Loyalty Program,1489,0
PROD_166XGO,TRANS_9INM3A,13,86.01,Electronics,11,asia,0.34,2122.41,2021-01-14,2023-01-03,Winter,Evening,Email Campaign,1895,0
PROD_W9GBJF,TRANS_UYVR6Q,6,46.6,Sports,43,south america,0.23,4413.42,2020-02-23,2023-06-12,Winter,Morning,Discount,2221,0
PROD_5FLVPY,TRANS_2V299P,11,37.97,Sports,6,south america,0.33,8297.46,2020-08-08,2023-06-19,Winter,Afternoon,Loyalty Program,2054,1
PROD_WJ48PQ,TRANS_SPB5MI,14,117.1,Sports,76,europe,0.01,8897.35,2021-10-07,2023-05-26,Winter,Afternoon,Loyalty Program,1629,1
PROD_ARYSJ9,TRANS_YIY0NJ,6,167.11,Home,66,asia,0.19,572.16,2021-02-26,2023-09-10,Fall,Evening,Loyalty Program,1852,0
PROD_QTXSAU,TRANS_72SKC6,10,41.52,Sports,69,asia,0.44,6682.54,2021-08-31,2023-12-26,Summer,Evening,Email Campaign,1666,1
PROD_MUAABD,TRANS_X5EG12,18,57.27,Electronics,16,south america,0.58,338.23,2022-09-19,2023-09-27,Winter,Afternoon,Loyalty Program,1282,0
PROD_F2MZDX,TRANS_RF5Q6J,8,90.22,Home,17,asia,0.22,3587.63,2022-07-10,2023-09-07,Summer,Morning,Loyalty Program,1353,0
